task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
22	da/eef03c	4029	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:04:57.411	34.8s	27s	95.2%	2.1 GB	5.9 GB	1.5 GB	6.4 MB
26	6f/f4ec41	4032	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (WT_REP2)	COMPLETED	0	2021-06-20 17:05:02.301	30.1s	1s	114.2%	233.4 MB	434.5 MB	4.9 MB	33 KB
28	3a/be348a	4034	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:05:17.307	19.9s	2s	98.1%	223.6 MB	406.5 MB	5.1 MB	31.5 KB
29	f5/a07d21	4035	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:32.454	4.8s	0ms	165.0%	1.8 MB	26.3 MB	3.5 MB	1.6 MB
18	3c/59e9d4	4024	NFCORE_RNASEQ:RNASEQ:FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT_REP1)	COMPLETED	0	2021-06-20 17:04:57.319	44.9s	27s	171.5%	229 MB	3.3 GB	335.8 MB	284.3 MB
31	16/8dd5fc	4037	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:37.327	4.9s	0ms	94.1%	2.4 MB	26.6 MB	1.7 MB	1.7 KB
30	18/caa936	4036	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:33.413	13.8s	2s	124.8%	668.5 MB	866.5 MB	3.3 MB	17.3 KB
33	9c/b9ce85	4039	NFCORE_RNASEQ:RNASEQ:PRESEQ_LCEXTRAP (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:37.363	9.9s	1s	89.8%	1.9 MB	12.1 MB	1.7 MB	372.7 KB
32	eb/253861	4038	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:37.346	14.9s	6s	242.5%	2.1 GB	11 GB	30.4 MB	2.2 MB
35	98/54a6f1	4041	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_QUANT (WT_REP1)	COMPLETED	0	2021-06-20 17:05:42.302	10s	2s	123.1%	238.5 MB	405.1 MB	8.9 MB	33 KB
45	e7/5ea142	4043	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:52.365	4.9s	0ms	95.7%	1.6 MB	26.3 MB	1.7 MB	1.7 KB
27	92/ff3ee2	4033	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:05:17.281	45s	39s	97.7%	2.1 GB	5.9 GB	1.5 GB	12.8 MB
42	a0/170a47	4042	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDISTRIBUTION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:52.344	9.9s	3s	199.5%	34 MB	677.5 MB	19.5 MB	1.4 KB
40	b3/96d0e3	4044	NFCORE_RNASEQ:RNASEQ:DUPRADAR (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:52.383	9.9s	4s	147.9%	209.6 MB	2.4 GB	67.1 MB	95.6 KB
39	f9/690ba1	4045	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:52.400	14.9s	4s	316.3%	242 MB	9.6 GB	22.9 MB	534.4 KB
46	fa/e2e052	4046	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_BAMSTAT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:52.418	14.9s	2s	233.1%	42.4 MB	691.5 MB	19.4 MB	1 KB
43	45/9d588d	4047	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_INNERDISTANCE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:52.435	19.8s	2s	202.0%	45 MB	694.7 MB	8.9 MB	226 B
38	94/922a62	4048	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_INFEREXPERIMENT (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:52.452	19.8s	2s	239.3%	44.4 MB	691.5 MB	19.5 MB	518 B
36	0e/570a9e	4049	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_JUNCTIONSATURATION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:52.472	24.8s	3s	236.9%	40.7 MB	693.3 MB	25.1 MB	15.7 KB
37	bf/f1fae1	4050	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDUPLICATION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:52.492	24.8s	3s	250.0%	42.7 MB	690.4 MB	25.1 MB	20.8 KB
41	2e/802fe7	4051	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_JUNCTIONANNOTATION (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:52.511	29.7s	3s	263.2%	42.6 MB	691.5 MB	25.2 MB	86.6 KB
48	36/6aafcd	4052	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_TX2GENE (genome_gfp.gtf)	COMPLETED	0	2021-06-20 17:05:52.530	29.7s	0ms	91.2%	2.3 MB	29.8 MB	1.9 MB	4.4 KB
44	7c/4ba994	4053	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:52.548	29.7s	1s	103.3%	1 MB	11 MB	3.7 MB	639.8 KB
47	ee/a8cb18	4054	NFCORE_RNASEQ:RNASEQ:STRINGTIE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:52.566	29.7s	0ms	83.2%	1.2 MB	11 MB	3.5 MB	113.6 KB
49	84/a9697e	4055	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:05:52.585	34.7s	0ms	75.6%	1.2 MB	11 MB	11.5 MB	6.7 KB
50	7e/8f54f0	4056	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:02.297	25s	0ms	179.8%	1.8 MB	26.3 MB	6.9 MB	3 MB
24	c2/a070cc	4030	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:04:57.429	1m 35s	1m 32s	98.5%	2.3 GB	6 GB	1.5 GB	12.3 MB
51	06/57acd6	4057	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:02.640	29.6s	3s	153.9%	687.8 MB	918.5 MB	6.3 MB	17.5 KB
53	f7/7f5b07	4059	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDCLIP (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:06:22.326	10s	0ms	95.5%	1.6 MB	5.4 MB	193.1 KB	127.2 KB
54	1f/b93239	4060	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDCLIP (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:06:22.344	10s	0ms	86.8%	4.3 MB	18.5 MB	258.9 KB	193 KB
56	2b/c27531	4061	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:27.291	10s	0ms	99.2%	1.6 MB	26.3 MB	3.1 MB	2.3 KB
58	34/c007bd	4062	NFCORE_RNASEQ:RNASEQ:PRESEQ_LCEXTRAP (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:27.310	10s	1s	98.9%	2.7 MB	12.4 MB	3.1 MB	373.4 KB
25	97/1a48e4	4031	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (WT_REP2)	COMPLETED	0	2021-06-20 17:05:02.282	1m 40s	1m 34s	99.1%	2.3 GB	6 GB	1.5 GB	11.6 MB
52	7a/6ef406	4058	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_TXIMPORT	COMPLETED	0	2021-06-20 17:06:22.298	25s	20s	105.4%	448.2 MB	2.6 GB	66.8 MB	63.8 KB
57	b0/5bc839	4063	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:27.334	20s	6s	306.1%	2.2 GB	11.1 GB	33.3 MB	3.7 MB
55	c4/e0afb2	4064	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:06:27.354	20s	0ms	94.4%	1.2 MB	11 MB	1.7 MB	1.4 KB
59	63/77c944	4065	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:06:32.302	20s	1s	158.6%	1.6 MB	24.3 MB	6.7 MB	3.5 MB
61	4f/300b7d	4066	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:06:32.338	19.9s	0ms	86.3%	1 MB	11 MB	430.6 KB	90.8 KB
62	66/5a65e8	4067	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (RAP1_UNINDUCED_REP1)	COMPLETED	0	2021-06-20 17:06:32.360	19.9s	0ms	65.6%	3.1 MB	33.9 MB	627.9 KB	105.7 KB
60	6f/303948	4068	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:06:32.639	24.6s	2s	146.7%	808.7 MB	1007.5 MB	6 MB	18 KB
63	97/ac8a33	4069	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (WT_REP2)	COMPLETED	0	2021-06-20 17:06:42.301	15s	1s	144.8%	1.5 MB	22.2 MB	6.4 MB	3.2 MB
64	03/76eed9	4070	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (WT_REP2)	COMPLETED	0	2021-06-20 17:06:42.662	19.6s	3s	150.8%	801.9 MB	1007.5 MB	5.6 MB	17.8 KB
67	73/4bd5c1	4071	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_SE_GENE_LENGTH_SCALED (salmon_tx2gene.tsv)	COMPLETED	0	2021-06-20 17:06:47.303	20s	10s	122.3%	344.4 MB	1 GB	47.8 MB	15.6 KB
66	ad/4140ae	4072	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_SE_TRANSCRIPT (salmon_tx2gene.tsv)	COMPLETED	0	2021-06-20 17:06:47.329	24.9s	10s	128.9%	353.7 MB	1 GB	47.8 MB	13.3 KB
68	f7/302064	4073	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_SE_GENE_SCALED (salmon_tx2gene.tsv)	COMPLETED	0	2021-06-20 17:06:47.347	34.9s	11s	127.9%	388.1 MB	1 GB	47.8 MB	15.5 KB
69	4b/3b235d	4074	NFCORE_RNASEQ:RNASEQ:QUANTIFY_SALMON:SALMON_SE_GENE (salmon_tx2gene.tsv)	COMPLETED	0	2021-06-20 17:06:47.363	34.9s	10s	127.8%	390.6 MB	1 GB	47.8 MB	13.3 KB
72	8f/4e3ffd	4075	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:47.379	34.9s	1s	109.8%	4 MB	41.7 MB	6.9 MB	953.8 KB
75	cb/73754d	4076	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDUPLICATION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:47.394	44.9s	3s	225.9%	89.8 MB	1.4 GB	26.6 MB	29.3 KB
80	8a/d45d9e	4077	NFCORE_RNASEQ:RNASEQ:DUPRADAR (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:47.415	44.9s	5s	159.8%	158.6 MB	2.4 GB	71.2 MB	99.9 KB
79	35/45e975	4078	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_INNERDISTANCE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:47.431	44.9s	2s	199.5%	43.3 MB	694.7 MB	8.9 MB	226 B
78	44/5f02eb	4079	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_JUNCTIONSATURATION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:47.447	49.8s	3s	257.4%	40.6 MB	690.5 MB	26.6 MB	15.7 KB
73	e8/4008cc	4081	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_BAMSTAT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:47.479	54.8s	2s	231.9%	43.3 MB	695.8 MB	20.9 MB	1 KB
70	83/4201f4	4082	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_JUNCTIONANNOTATION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:47.494	59.8s	2s	252.1%	48.6 MB	692.8 MB	26.7 MB	93.1 KB
71	75/1d7f12	4083	NFCORE_RNASEQ:RNASEQ:STRINGTIE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:47.510	59.8s	0ms	96.4%	2.4 MB	22.5 MB	4.6 MB	117.7 KB
65	94/085190	4080	NFCORE_RNASEQ:RNASEQ:DESEQ2_QC_SALMON	COMPLETED	0	2021-06-20 17:06:47.463	1m 5s	19s	107.9%	646.2 MB	2.7 GB	67.7 MB	58.7 KB
76	49/db21f0	4084	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:47.525	1m 5s	0ms	101.7%	1.3 MB	22.2 MB	3.2 MB	2.4 KB
74	28/2f62b1	4085	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDISTRIBUTION (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:47.539	1m 10s	2s	225.5%	44.8 MB	697.6 MB	21 MB	1.4 KB
81	e2/2cc694	4087	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:47.571	1m 10s	0ms	99.5%	3.5 MB	24.2 MB	12.5 MB	6.7 KB
77	f3/63727c	4086	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:47.555	1m 15s	3s	399.7%	263.5 MB	9.6 GB	24.5 MB	483.6 KB
82	3e/a19cb5	4088	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_INFEREXPERIMENT (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:06:47.587	1m 15s	3s	229.8%	49.3 MB	694.7 MB	21 MB	519 B
83	2a/4d62d5	4090	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:06:52.314	1m 10s	0ms	97.2%	1.2 MB	16.2 MB	3.5 MB	2.2 KB
85	6d/ef5c00	4089	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:06:52.287	1m 15s	5s	294.9%	2.1 GB	11 GB	34.2 MB	4.2 MB
84	d7/7fd46b	4091	NFCORE_RNASEQ:RNASEQ:PRESEQ_LCEXTRAP (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:06:52.346	1m 15s	1s	99.4%	8.9 MB	18.2 MB	3.6 MB	401.4 KB
86	3d/1aacc6	4092	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (WT_REP2)	COMPLETED	0	2021-06-20 17:06:57.290	1m 10s	0ms	100.8%	1.3 MB	22.2 MB	3.3 MB	2.2 KB
88	40/18c584	4094	NFCORE_RNASEQ:RNASEQ:PRESEQ_LCEXTRAP (WT_REP2)	COMPLETED	0	2021-06-20 17:06:57.334	1m 15s	1s	99.6%	4.4 MB	13.5 MB	3.4 MB	401.4 KB
89	ab/d8a351	4095	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDCLIP (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:07:22.305	50s	0ms	83.6%	4.3 MB	18.5 MB	277 KB	211.1 KB
90	3e/f848d7	4096	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDCLIP (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:07:22.326	50s	0ms	94.8%	3.9 MB	18.2 MB	332 KB	266.1 KB
87	a7/3b8c5d	4093	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:PICARD_MARKDUPLICATES (WT_REP2)	COMPLETED	0	2021-06-20 17:06:57.313	1m 20s	5s	353.5%	2.2 GB	11.1 GB	33.8 MB	4 MB
91	6c/4010e4	4097	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (RAP1_UNINDUCED_REP2)	COMPLETED	0	2021-06-20 17:07:57.307	20s	1s	88.5%	1.2 MB	11 MB	1.7 MB	1.4 KB
98	f7/002052	4098	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:08:07.312	10s	0ms	98.4%	1.3 MB	22 MB	3.7 MB	2.2 KB
93	41/f38ad2	4099	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_INNERDISTANCE (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:08:07.362	14.9s	4s	200.1%	105.1 MB	1.4 GB	27.1 MB	1.8 MB
96	84/b220c7	4100	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDISTRIBUTION (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:08:07.382	14.9s	2s	210.7%	48.8 MB	700 MB	21.5 MB	1.4 KB
101	23/eb3275	4101	NFCORE_RNASEQ:RNASEQ:STRINGTIE (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:08:07.400	19.9s	1s	84.7%	2.4 MB	22.5 MB	5.5 MB	117.3 KB
100	47/92b4ac	4102	NFCORE_RNASEQ:RNASEQ:BEDTOOLS_GENOMECOV (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:08:07.417	19.9s	1s	111.0%	4 MB	41.7 MB	7.8 MB	907 KB
97	7b/258103	4103	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_READDUPLICATION (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:08:07.434	24.8s	3s	229.5%	94.9 MB	1.4 GB	27.1 MB	21.4 KB
103	95/762371	4104	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_JUNCTIONANNOTATION (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:08:07.451	24.8s	3s	247.3%	47 MB	700.1 MB	27.1 MB	94.4 KB
92	13/ac4e22	4105	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_INFEREXPERIMENT (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:08:07.468	29.8s	3s	210.2%	40.7 MB	691.5 MB	21.4 MB	537 B
102	04/84eef9	4106	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_BAMSTAT (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:08:07.484	29.8s	2s	218.5%	40.7 MB	691.5 MB	21.4 MB	1 KB
94	46/1b3de5	4107	NFCORE_RNASEQ:RNASEQ:RSEQC:RSEQC_JUNCTIONSATURATION (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:08:07.508	34.7s	3s	240.3%	49.4 MB	703.7 MB	27.1 MB	15.7 KB
99	4c/89cf0f	4108	NFCORE_RNASEQ:RNASEQ:QUALIMAP_RNASEQ (RAP1_IAA_30M_REP1)	COMPLETED	0	2021-06-20 17:08:07.527	34.7s	4s	356.1%	431.1 MB	10.5 GB	30.7 MB	6.2 MB
